"rank"	"price_usd"	"24h_volume_usd"	"market_cap_usd"	"available_supply"	"total_supply"	"percent_change_1h"	"percent_change_24h"	"percent_change_7d"	"price_btc"
31	32.8297	1461490	201977378	6152276	6572276	3.22	12.63	17.03	0.00505398
31	33.0391	1562790	203268677	6152367	6572367	1.65	12.67	17.74	0.00503703
32	33.1014	1464290	203657838	6152545	6572545	0.96	11.89	17.88	0.00504244
32	32.6462	1333280	200860978	6152660	6572660	-1.56	9.3	16.08	0.00501858
31	32.1919	1308360	198070295	6152799	6572799	-2.68	7.05	14.38	0.00499946
32	32.0019	1265270	196902596	6152841	6572841	-1.02	5.69	13.58	0.00497414
33	31.5496	1255910	194124047	6152980	6572980	-1.79	3.73	11.84	0.00496162
33	31.216	1251390	192075026	6153095	6573095	-2.78	2.11	10.52	0.00491281
33	31.3408	1288560	192849315	6153299	6573299	-0.82	2.39	10.78	0.0048791
33	31.6096	1246100	194507566	6153433	6573433	1.37	3.37	11.56	0.00490111
33	31.7448	1254420	195341567	6153498	6573498	1.72	4.04	11.83	0.00490886
33	31.5887	1243640	194381006	6153498	6573498	0.34	3.65	11.21	0.00490784
33	31.0202	1223210	190885614	6153591	6573591	-1.88	2.36	9.11	0.00488808
33	32.0378	1253900	197153440	6153776	6573776	1.48	6.51	12.51	0.00490534
33	31.9684	1245980	196730068	6153892	6573892	1.25	6.52	12.23	0.0049055
33	31.5804	1229670	194347474	6154054	6574054	1.08	6.22	10.64	0.00484039
33	31.6663	1210620	194885635	6154354	6574354	-0.18	7.32	10.8	0.00489822
33	31.5803	1189220	194356361	6154354	6574354	-0.3	7.29	10.43	0.00487789
33	31.5479	1184320	194158420	6154401	6574401	0.09	7.33	10.2	0.0048789
33	31.6628	1173500	194869958	6154540	6574540	0	7.65	10.54	0.0048833
33	31.4526	1164550	193578312	6154604	6574604	-0.83	6.95	9.69	0.00487114
33	31.5496	1178210	194175308	6154604	6574604	-0.38	7.2	9.96	0.00483446
33	31.9081	1201000	196383949	6154674	6574674	0.95	8.31	11.1	0.00489128
33	32.064	1180280	197350587	6154896	6574896	1.78	8.66	11.51	0.00487994
33	32.035	1181670	197174320	6154966	6574966	0.78	8.36	11.34	0.00486063
33	32.5413	1206740	200290579	6154966	6574966	1.78	9.89	13.05	0.00491088
33	32.3554	1165150	199148468	6155030	6575030	0.97	8.8	12.27	0.0048742
33	32.4402	1155980	199672667	6155100	6575100	-0.22	8.93	12.39	0.00485037
34	31.8014	1160580	195746677	6155285	6575285	-2.14	6.71	10.02	0.00480076
33	32.159	1155020	197953017	6155447	6575447	-0.87	8.03	11.1	0.00481368
33	32.0768	1136400	197448524	6155493	6575493	0.59	7.37	10.66	0.00479946
33	32.3649	1141080	199223420	6155539	6575539	0.93	7.57	11.49	0.00483314
33	31.8165	1132600	195855823	6155794	6575794	-0.81	4.22	9.48	0.00480637
